48,PSG,Prosegur,Madrid,Industrials,Professional & Commercial Services,€897.15M,15.6x,-1.7,€1.69,0.4%
49,ADXR,Audax Renovables,Madrid,Utilities,Multiline Utilities,€842.80M,19.6x,0.02,€1.87,1.3%
50,EDRE,eDreams Odigeo SA,Madrid,Consumer Cyclicals,Hotels & Entertainment Services,€827.18M,25x,0.14,€6.62,1.7%
51,TRE,Tecnicas Reunidas,Madrid,Industrials,Construction & Engineering,€822.56M,13.2x,-0.36,€10.53,2%
52,RLIA,Realia,Madrid,Real Estate,Real Estate Operations,€815.14M,26.5x,1.94,€1,-1%
53,CASHP,Prosegur Cash,Madrid,Industrials,Professional & Commercial Services,€773.82M,12.2x,-0.34,€0.53,1.7%
54,DIDA,DIA,Madrid,Consumer Non-Cyclicals,Food & Drug Retailing,€771.96M,-12.5x,-1.14,€0.01,0%
55,YZBL,Zambal Spain Socimi SA,Madrid,Real Estate,Residential & Commercial REITs,€703.64M,29.5x,,€1.09,0%
56,YCPS,Castellana Properties,Madrid,Real Estate,Residential & Commercial REITs,€672.30M,30x,-0.56,€6.65,0%
57,TLGO,Talgo,Madrid,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",€518.04M,24.6x,0.04,€4.22,-1.2%
58,MCM,Miquel Cost.,Madrid,Basic Materials,Paper & Forest Products,€484.90M,10.8x,,€12.55,0.8%
59,CBAV,Clinica Baviera,Madrid,Healthcare,Healthcare Providers & Services,€469.51M,12.2x,0.55,€29,1%
60,YATO,Atom Hoteles,Madrid,Real Estate,Residential & Commercial REITs,€445.42M,48.4x,-0.74,€13.80,0%
61,RTA4,Renta 4 Banco,Madrid,Financials,Investment Banking & Investment Services,€435.42M,16x,0.88,€10.90,-1.8%
62,DOMI,Global Dominion,Madrid,Industrials,Professional & Commercial Services,€419.90M,11.1x,5.23,€2.82,2%
63,YTST,Testa Residencial,Madrid,Real Estate,Real Estate Operations,€410.82M,-4.1x,0.02,€3.12,0%
64,PRS,Promotora Informaciones,Madrid,Consumer Cyclicals,Media & Publishing,€362.97M,-18.6x,-0.3,€0.34,0.9%
65,YFID,Fidere Patrimonio SOCIMI SA,Madrid,Real Estate,Residential & Commercial REITs,€354.62M,42.5x,-0.63,€35.20,0%
