47,1326,FCFC,Taiwan,Basic Materials,Chemicals,NT$265.84B,24.6x,0.07,NT$45.45,0%
48,1101,TCC Holdings,Taiwan,Basic Materials,Construction Materials,NT$253.05B,30.8x,0.67,NT$33.60,0%
49,2301,Lite-On Tech,Taiwan,Technology,"Computers, Phones & Household Electronics",NT$251.91B,17.8x,-2.3,NT$109.50,0%
50,5871,Chailease,Taiwan,Financials,Banking Services,NT$244.56B,10.4x,-0.81,NT$148.50,0%
51,2887E,Taishin Financial Pref,Taiwan,Financials,Banking Services,NT$243.95B,18.8x,-0.86,NT$51.30,0%
52,2887,TSFHC,Taiwan,Financials,Banking Services,NT$243.95B,18.8x,-0.85,NT$18.80,0%
53,3037,Unimicron Tech,Taiwan,Technology,Semiconductors & Semiconductor Equipment,NT$243.05B,25.2x,-0.4,NT$159.50,0%
54,6488,GlobalWafers,TPEX,Technology,Semiconductors & Semiconductor Equipment,NT$231.89B,13.2x,-0.67,NT$485,0%
55,3017,AVC,Taiwan,Technology,"Computers, Phones & Household Electronics",NT$228.84B,34x,1.75,NT$597,0%
56,3293,Intl Games System,TPEX,Consumer Cyclicals,Leisure Products,NT$222.91B,30.4x,1.11,NT$791,0%
57,6446,PharmaEssentia,Taiwan,Healthcare,Biotechnology & Medical Research,NT$219.45B,165.7x,3.98,NT$661,0%
58,2615,Wan Hai,Taiwan,Industrials,Freight & Logistics Services,NT$218.04B,14.7x,-2.38,NT$77.70,0%
59,2609,YMTC,Taiwan,Industrials,Freight & Logistics Services,NT$215.11B,9x,-0.22,NT$61.60,0%
60,5876,Shanghai Commercial,Taiwan,Financials,Banking Services,NT$201.53B,13.3x,-1.2,NT$41.55,0%
61,2801,Chang Hwa Bank,Taiwan,Financials,Banking Services,NT$200.34B,15x,1.31,NT$17.88,0%
62,5347,Vanguard Intl Semiconductor,TPEX,Technology,Semiconductors & Semiconductor Equipment,NT$195.04B,27.5x,-1.05,NT$119,0%
63,1402,FENC,Taiwan,Consumer Non-Cyclicals,Consumer Goods Conglomerates,NT$193.75B,19.1x,0.99,NT$36.20,0%
64,1519,Fortune Electric,Taiwan,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",NT$193.26B,59.4x,0.31,NT$673,0%
65,3661,Alchip Tech,Taiwan,Technology,Semiconductors & Semiconductor Equipment,NT$191.15B,42.3x,0.47,"NT$2,395",0%
66,2618,Eva Airways,Taiwan,Industrials,Passenger Transportation Services,NT$187.40B,7.9x,0.05,NT$34.70,0%
67,3529,eMemory Tech,TPEX,Technology,Semiconductors & Semiconductor Equipment,NT$181.79B,106x,6.79,"NT$2,435",0%
68,2356,Inventec,Taiwan,Technology,"Computers, Phones & Household Electronics",NT$171.12B,25.4x,1.66,NT$47.70,0%
69,5274,Aspeed Tech,TPEX,Technology,Semiconductors & Semiconductor Equipment,NT$170.19B,114.9x,,"NT$4,500",0%
70,2888,SKFH,Taiwan,Financials,Insurance,NT$168.90B,34.8x,0.24,NT$10.70,0%
71,2408,Nanya Tech,Taiwan,Technology,Semiconductors & Semiconductor Equipment,NT$168.25B,-23.5x,0.03,NT$54.30,0%
72,6409,Voltronic,Taiwan,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",NT$167.12B,44.5x,-1.72,"NT$1,905",0%
73,3653,Jentech,Taiwan,Technology,Semiconductors & Semiconductor Equipment,NT$166.70B,60x,5.94,"NT$1,185",0%
74,2633,Taiwan High Speed Rail,Taiwan,Industrials,Passenger Transportation Services,NT$165.75B,21.2x,1.3,NT$29.45,0%
75,3533,Lotes,Taiwan,Technology,Electronic Equipment & Parts,NT$162.75B,25.6x,8,"NT$1,460",0%
76,6415,Silergy,Taiwan,Technology,Semiconductors & Semiconductor Equipment,NT$161.43B,262x,-2.83,NT$420,0%
77,1590,Airtac,Taiwan,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",NT$161B,22.4x,1.09,NT$805,0%
78,2105,Cheng Shin Rubber,Taiwan,Consumer Cyclicals,Automobiles & Auto Parts,NT$159.80B,19.3x,0.38,NT$49.30,0%
79,1102,Asia Cement Corp,Taiwan,Basic Materials,Construction Materials,NT$156.76B,12.9x,-1.6,NT$44.20,0%
80,2474,Catcher Tech,Taiwan,Technology,Electronic Equipment & Parts,NT$155.80B,12.9x,0.9,NT$229,0%
81,2376,Gigabyte Tech,Taiwan,Technology,"Computers, Phones & Household Electronics",NT$154.15B,20.2x,0.87,NT$242.50,0%
82,2383,Elite Material,Taiwan,Technology,Semiconductors & Semiconductor Equipment,NT$149.19B,18.1x,0.18,NT$433,0%
83,2834,TBB,Taiwan,Financials,Banking Services,NT$146.23B,14.8x,-1.12,NT$15.95,0%
84,2449,King Yuan,Taiwan,Technology,Semiconductors & Semiconductor Equipment,NT$146.12B,24.1x,-11.35,NT$119.50,0%
85,3443,GUC Corp,Taiwan,Technology,Semiconductors & Semiconductor Equipment,NT$145.40B,43.9x,-1.95,"NT$1,085",0%
86,2377,MSI,Taiwan,Technology,"Computers, Phones & Household Electronics",NT$144.47B,18.4x,-25.03,NT$171,0%
87,3702,WPG Holdings,Taiwan,Technology,Semiconductors & Semiconductor Equipment,NT$143.56B,17.2x,0.71,NT$85.50,0%
88,9945,Ruentex,Taiwan,Real Estate,Real Estate Operations,NT$141.30B,10.2x,0.07,NT$49.85,0%
89,9910,Feng Tay,Taiwan,Consumer Cyclicals,Textiles & Apparel,NT$139.24B,23.7x,-0.82,NT$141,0%
90,2324,Compal,Taiwan,Technology,"Computers, Phones & Household Electronics",NT$138.12B,15.1x,0.65,NT$31.70,0%
91,1476,Eclat Textile,Taiwan,Consumer Cyclicals,Textiles & Apparel,NT$137.46B,22.6x,1.24,NT$501,0%
92,1605,Walsin Lihwa,Taiwan,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",NT$134.44B,26.4x,-0.4,NT$33.35,0%
93,2360,Chroma,Taiwan,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",NT$131.77B,28.5x,-8.16,NT$311,0%
94,2353,Acer,Taiwan,Technology,"Computers, Phones & Household Electronics",NT$126.56B,22.6x,0.24,NT$42.10,0%
95,2610,China Airlines,Taiwan,Industrials,Passenger Transportation Services,NT$126.43B,14.6x,0.02,NT$20.90,0%
96,3036,WT Microelectronics,Taiwan,Technology,Semiconductors & Semiconductor Equipment,NT$122.18B,18.8x,1.14,NT$109.50,0%
97,3481,Innolux,Taiwan,Technology,Electronic Equipment & Parts,NT$121.72B,-16.8x,-0.21,NT$14.55,0%
98,8464,Nien Made Enterprise Co Ltd,Taiwan,Consumer Cyclicals,Household Goods,NT$121.60B,20.4x,,NT$415,0%
99,2409,AUO,Taiwan,Technology,Electronic Equipment & Parts,NT$120.77B,-19.3x,-0.23,NT$15.75,0%
100,2347,Synnex,Taiwan,Technology,"Computers, Phones & Household Electronics",NT$118.76B,15.1x,-0.33,NT$71.20,0%
101,1503,Shihlin Electric,Taiwan,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",NT$116.18B,43.3x,1.23,NT$223,0%
102,4958,ZDT,Taiwan,Technology,Semiconductors & Semiconductor Equipment,NT$115.28B,16.9x,-0.36,NT$122,0%
103,2385,Chicony Electronics,Taiwan,Technology,"Computers, Phones & Household Electronics",NT$113.52B,13.5x,1.54,NT$156,0%
104,5269,Asmedia,Taiwan,Technology,Semiconductors & Semiconductor Equipment,NT$112.74B,33.8x,1.43,"NT$1,510",0%
105,2059,King Slide,Taiwan,Technology,"Computers, Phones & Household Electronics",NT$108.16B,23.9x,0.71,"NT$1,135",0%
106,9904,Pou Chen,Taiwan,Consumer Cyclicals,Textiles & Apparel,NT$107.41B,7.6x,0.12,NT$36.45,0%
107,6239,Powertech Tech,Taiwan,Technology,Semiconductors & Semiconductor Equipment,NT$107.24B,11.7x,0.23,NT$143.50,0%
108,5483,Sino-American Silicon,TPEX,Technology,Semiconductors & Semiconductor Equipment,NT$106.24B,12.5x,-2.85,NT$190,0%
109,1229,LHIC,Taiwan,Consumer Non-Cyclicals,Food & Tobacco,NT$105.45B,25.1x,1.85,NT$61.90,0%
110,2371,Tatung,Taiwan,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",NT$103.86B,39.1x,-0.52,NT$46.35,0%
111,8299,Phison Electronics,TPEX,Technology,Semiconductors & Semiconductor Equipment,NT$103.21B,17.2x,0.25,NT$504,0%
112,2542,Highwealth,Taiwan,Real Estate,Real Estate Operations,NT$102.04B,55x,-1.02,NT$55.20,0%
113,3044,Tripod Tech,Taiwan,Technology,Semiconductors & Semiconductor Equipment,NT$101.70B,13.1x,0.29,NT$193.50,0%
114,2344,Winbond,Taiwan,Technology,Semiconductors & Semiconductor Equipment,NT$101.16B,124.9x,-1.7,NT$24.20,0%
115,2368,Gold Circuit,Taiwan,Technology,Semiconductors & Semiconductor Equipment,NT$100.50B,20.1x,2.54,NT$206.50,0%
116,2812,T.C.C.B.,Taiwan,Financials,Banking Services,NT$99.06B,13x,0.42,NT$17.95,0%
117,8454,momo.com,Taiwan,Consumer Cyclicals,Diversified Retail,NT$98.06B,27.5x,13.64,NT$408,0%
118,1504,TECO Electric,Taiwan,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",NT$97.87B,18.2x,1.39,NT$46.40,0%
119,8046,N.P.C,Taiwan,Technology,Semiconductors & Semiconductor Equipment,NT$95.96B,50.5x,-0.54,NT$148.50,0%
120,9921,Giant,Taiwan,Consumer Cyclicals,Leisure Products,NT$92.14B,31.5x,-0.75,NT$235,0%
121,1477,Makalot,Taiwan,Consumer Cyclicals,Textiles & Apparel,NT$91.42B,21x,1.34,NT$378,0%
122,6770,Powerchip Semiconductor Manufacturing,Taiwan,,,NT$90.87B,-48.1x,0.33,NT$22.20,0%
