43,601766,CRRC A,Shanghai,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",CN¥218.40B,17.2x,1.24,CN¥7.61,-0.1%
44,600025,Huaneng Lancang River A,Shanghai,Utilities,Electrical Utilities & IPPs,CN¥214.20B,28.5x,1.67,CN¥11.90,-0.3%
45,601985,China National Nuclear Power,Shanghai,Utilities,Electrical Utilities & IPPs,CN¥209.04B,19.7x,0.98,CN¥11.07,-0.2%
46,601919,COSCO Shipping,Shanghai,Industrials,Freight & Logistics Services,CN¥199.99B,8.6x,-0.11,CN¥12.54,0.5%
47,000001,Ping An Bank A,Shenzhen,Financials,Banking Services,CN¥197.36B,4.5x,-2.33,CN¥10.15,1.2%
48,603288,Foshan Haitian Food,Shanghai,Consumer Non-Cyclicals,Food & Tobacco,CN¥193.50B,33.4x,-8.16,CN¥34.81,-1.1%
49,601633,Great Wall Motor,Shanghai,Consumer Cyclicals,Automobiles & Auto Parts,CN¥192.07B,19.1x,0.28,CN¥22.56,1.3%
50,688469,United Nova Tech,Shanghai,Technology,Semiconductors & Semiconductor Equipment,CN¥190.87B,33.7x,-0.06,CN¥3.74,0%
51,688981,Semiconductor M,Shanghai,Technology,Semiconductors & Semiconductor Equipment,CN¥190.87B,33.7x,-0.76,CN¥49.65,-0.1%
52,600406,NARI Tech,Shanghai,Technology,Software & IT Services,CN¥189.90B,26.3x,3.61,CN¥23.60,-0.3%
53,601818,China Everbright Bank,Shanghai,Financials,Banking Services,CN¥188.48B,5.3x,-0.46,CN¥3.19,0.3%
54,000568,Lao Jiao A,Shenzhen,Consumer Non-Cyclicals,Beverages,CN¥184.85B,13.2x,0.52,CN¥125.50,-0.8%
55,601898,China Coal Energy,Shanghai,Energy,Coal,CN¥179.52B,10.4x,-1.11,CN¥13.51,1%
56,688041,Hygon Information Tech,Shanghai,Technology,Semiconductors & Semiconductor Equipment,CN¥178B,118.8x,3.44,CN¥77.13,0.7%
57,600150,China CSSC,Shanghai,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",CN¥176.44B,53.6x,0.03,CN¥39.44,0.1%
58,002371,NAURA Technology,Shenzhen,Technology,Semiconductors & Semiconductor Equipment,CN¥168.91B,37.6x,0.63,CN¥317.50,1.1%
59,300059,East Money Information,Shenzhen,Financials,Investment Banking & Investment Services,CN¥167.80B,20.9x,-10.8,CN¥10.60,-0.7%
60,002352,S.F. Holding Co,Shenzhen,Industrials,Freight & Logistics Services,CN¥163.94B,19.7x,0.84,CN¥34.52,0.4%
61,603993,CMOC,Shanghai,Basic Materials,Metals & Mining,CN¥159.39B,12.1x,0.12,CN¥7.45,3%
62,600887,Inner Mongolia Yili,Shanghai,Consumer Non-Cyclicals,Food & Tobacco,CN¥152.05B,12x,0.35,CN¥23.96,-0.4%
63,601066,China Securities,Shanghai,Financials,Investment Banking & Investment Services,CN¥152.03B,8.1x,-0.7,CN¥19.58,-0.4%
64,600016,China Minsheng Banking,Shanghai,Financials,Banking Services,CN¥151.92B,4.9x,-1.31,CN¥3.47,0.6%
65,600104,SAIC Motor Corp,Shanghai,Consumer Cyclicals,Automobiles & Auto Parts,CN¥151.17B,10.8x,2.34,CN¥13.19,0.8%
66,601390,China Railway A,Shanghai,Industrials,Construction & Engineering,CN¥148.75B,4.7x,0.81,CN¥6,0%
67,600018,Shanghai International Port,Shanghai,Industrials,Transport Infrastructure,CN¥145.99B,10.9x,-0.83,CN¥6.29,1.3%
68,600188,Yankuang Energy,Shanghai,Energy,Coal,CN¥144.03B,7.9x,-0.15,CN¥14.54,0.3%
69,300999,Arawana,Shenzhen,Consumer Non-Cyclicals,Food & Tobacco,CN¥142.64B,,-2.02,CN¥26.15,-0.6%
70,601800,China Communications Construction,Shanghai,Industrials,Construction & Engineering,CN¥142.11B,6.1x,0.2,CN¥8.72,0%
71,600050,China United Network Comm,Shanghai,Technology,Telecommunications Services,CN¥141.98B,17.3x,1.43,CN¥4.64,2.4%
72,000725,Boe Technology A,Shenzhen,Technology,Electronic Equipment & Parts,CN¥141.91B,19x,0.41,CN¥3.81,0.5%
73,600919,Bank of Jiangsu,Shanghai,Financials,Banking Services,CN¥140.75B,4.7x,0.52,CN¥7.67,0.3%
74,300274,Sungrow Power Supply,Shenzhen,Energy,Renewable Energy,CN¥139.96B,14.3x,0.13,CN¥68.24,-0.6%
75,600905,China Three Gorges New Energy Group Co,Shanghai,Utilities,Electrical Utilities & IPPs,CN¥135.95B,19x,-15.88,CN¥4.75,0%
76,300308,Shandong Zhongji Electrical,Shenzhen,Technology,Communications & Networking,CN¥132.86B,42.3x,0.31,CN¥121.81,5.8%
77,600019,Baoshan Iron & Steel,Shanghai,Basic Materials,Metals & Mining,CN¥132.17B,11.1x,0.54,CN¥6.11,-0.5%
78,000625,Changan Auto A,Shenzhen,Consumer Cyclicals,Automobiles & Auto Parts,CN¥131.60B,23.5x,-0.45,CN¥13.23,0.5%
