43,017670,SK Telecom,Seoul,Technology,Telecommunications Services,₩11.71T,10.3x,0.95,"₩54,700",-0.5%
44,034020,Doosan Heavy Ind. & Const.,Seoul,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",₩11.64T,244.3x,0.73,"₩18,760",3.2%
45,033780,KT&G Corp,Seoul,Consumer Non-Cyclicals,Food & Tobacco,₩11.5T,,-1.74,"₩99,300",-2.5%
46,042700,Hanmi Semicon,Seoul,Technology,Semiconductors & Semiconductor Equipment,₩11.39T,49.9x,,"₩127,900",7.9%
47,316140,Woori Financial,Seoul,Financials,Banking Services,₩11.34T,4.4x,-0.17,"₩15,470",1.3%
48,028300,HLB,KOSDAQ,Healthcare,Healthcare Equipment & Supplies,₩11.16T,-77x,1.33,"₩91,400",6.9%
49,018260,Samsung SDS Co Ltd,Seoul,Technology,Software & IT Services,₩11.03T,17.4x,-0.43,"₩143,000",0.3%
50,402340,SK Square,Seoul,Financials,Investment Holding Companies,₩10.97T,,-0.19,"₩87,600",6.4%
51,024110,Industrial Bank Of Korea,Seoul,Financials,Banking Services,₩10.94T,4.4x,-0.6,"₩13,740",0.2%
52,010130,Korea Zinc Inc,Seoul,Basic Materials,Metals & Mining,₩10.6T,20.5x,-0.53,"₩520,000",1.6%
53,009155,Samsung Electro Mech,Seoul,Technology,Electronic Equipment & Parts,₩10.53T,22.4x,-0.59,"₩68,800",1.9%
54,009150,Samsung Electro-Mechanics,Seoul,Technology,Semiconductors & Semiconductor Equipment,₩10.53T,30.9x,-0.59,"₩147,000",3.4%
55,323410,KakaoBank,Seoul,Financials,Banking Services,₩10.35T,28.9x,1.26,"₩22,100",1.8%
56,096775,SK Innovation Pref,Seoul,Energy,Oil & Gas,₩9.94T,32.4x,,"₩76,700",-0.4%
57,096770,SK Innovation,Seoul,Energy,Oil & Gas,₩9.94T,42.6x,-0.57,"₩102,300",-1.1%
58,267260,Hyundai Electric & Energy,Seoul,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",₩9.86T,,0.21,"₩299,000",9.1%
59,042660,Hanwha Ocean,Seoul,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",₩9.57T,28.5x,0.29,"₩31,700",1.4%
60,030200,KT Corporation,Seoul,Technology,Telecommunications Services,₩9.41T,,-1.33,"₩38,100",-0.5%
61,010140,Samsung Heavy Industries,Seoul,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",₩9.17T,-53x,-0.89,"₩10,870",1.2%
