46,ENI,Eni SpA,Milan,Energy,Oil & Gas,€45.46B,11.9x,-0.21,€14.33,-0.2%
47,DAST,Dassault Systemes,Paris,Technology,Software & IT Services,€45.08B,40.2x,3.63,€34.32,1.4%
48,HEIN,Heineken,Amsterdam,Consumer Non-Cyclicals,Beverages,€44.65B,42.4x,-0.73,€79.90,0.2%
49,IFXGn,Infineon,Xetra,Technology,Semiconductors & Semiconductor Equipment,€41.11B,19.5x,-0.59,€31.66,4.2%
50,CAGR,Credit Agricole,Paris,Financials,Banking Services,€40.80B,6.7x,1.74,€13.47,1.2%
51,UMG,Universal Music NV,Amsterdam,Consumer Cyclicals,Media & Publishing,€40.51B,25.9x,0.86,€22.20,0.2%
52,ADYEN,Adyen,Amsterdam,Technology,Financial Technology (Fintech) & Infrastructure,€39.31B,56.5x,2.07,"€1,275",12%
53,ADSGN,Adidas,Xetra,Consumer Cyclicals,Textiles & Apparel,€38.98B,163.1x,0.65,€218.40,0.5%
54,DANO,Danone,Paris,Consumer Non-Cyclicals,Food & Tobacco,€38.86B,38.7x,-1.63,€60.40,-0.4%
55,CABK,Caixabank,Madrid,Financials,Banking Services,€38.41B,7.7x,0.12,€5.29,3.5%
56,SGOB,Saint Gobain,Paris,Consumer Cyclicals,Homebuilding & Construction Supplies,€37.65B,13.2x,1.78,€75.42,1.9%
57,BASFN,BASF,Xetra,Basic Materials,Chemicals,€37.63B,-958x,-9.7,€42.13,2.2%
58,ENGIE,Engie,Paris,Utilities,Multiline Utilities,€37.34B,7.6x,0.04,€15.42,0.1%
59,NDAFI,Nordea Bank,Helsinki,Financials,Banking Services,€36.46B,7.3x,0.59,€10.42,0.4%
60,WLSNc,Wolters Kluwer,Amsterdam,Industrials,Professional & Commercial Services,€36.06B,35.4x,15.26,€151.85,0.4%
61,DB1Gn,Deutsche Boerse,Xetra,Financials,Investment Banking & Investment Services,€35.31B,19.6x,2.03,€192.35,1.9%
62,GASI,Assicurazioni Generali,Milan,Financials,Insurance,€34.95B,9.9x,-0.61,€22.68,1%
63,EONGn,E.ON SE,Xetra,Utilities,Multiline Utilities,€31.35B,26.7x,1.05,€11.99,-0.3%
64,PRTP,Kering,Paris,Consumer Cyclicals,Specialty Retailers,€31.35B,16.8x,-0.38,€255.70,1.8%
65,PERP,Pernod Ricard,Paris,Consumer Non-Cyclicals,Beverages,€30.96B,15.4x,-1.08,€123.95,1.4%
66,CAPP,Capgemini,Paris,Technology,Software & IT Services,€30.90B,18.3x,-9.8,€180.30,1.7%
67,TCFP,Thales,Paris,Industrials,Aerospace & Defense,€30.86B,22.3x,1.81,€150.40,1%
68,DSFIR,DSM Firmenich,Amsterdam,Consumer Non-Cyclicals,Consumer Goods Conglomerates,€30.85B,-164.6x,1.62,€114.20,-1.8%
69,ASMI,ASM,Amsterdam,Technology,Semiconductors & Semiconductor Equipment,€29.75B,53.9x,-4.72,€606.20,4.2%
70,HNKG,Henkel ST,Xetra,Basic Materials,Chemicals,€29.58B,16.6x,3.39,€70.55,-0.5%
71,HNKG_p,Henkel VZO,Xetra,Basic Materials,Chemicals,€29.58B,16.6x,3.39,€78.10,-0.6%
72,HNRGn,Hannover Rueckversicherung SE,Xetra,Financials,Insurance,€29.27B,14.4x,0.11,€242.60,2.6%
73,UCB,UCB,Brussels,Healthcare,Pharmaceuticals,€28.90B,120.9x,-4.51,€153.30,1.9%
74,ARGX,Argen-X,Brussels,Healthcare,Biotechnology & Medical Research,€28.63B,-152.1x,-3.02,€479.30,0.3%
75,VANAy,Advantest DRC,Frankfurt,Technology,Semiconductors & Semiconductor Equipment,€28.15B,59.7x,-2.23,€37.40,-1.6%
76,AD,Ahold Delhaize,Amsterdam,Consumer Non-Cyclicals,Food & Drug Retailing,€28.03B,15.4x,-0.72,€30.12,1%
77,KBC,KBC Groep,Brussels,Financials,Banking Services,€27.98B,9.9x,-0.95,€70.12,3.6%
78,BEIG,Beiersdorf AG,Xetra,Consumer Non-Cyclicals,Personal & Household Products & Services,€27.92B,38.3x,-3.13,€124.65,0.5%
79,ORAN,Orange,Paris,Technology,Telecommunications Services,€27.17B,12.4x,0.35,€10.21,-0.6%
80,DBKGn,Deutsche Bank AG,Xetra,Financials,Banking Services,€26.91B,8.2x,-0.27,€13.81,3.2%
81,DTGGe,Daimler Truck Holding,Xetra,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",€26.66B,,0.38,€33.95,1.2%
82,HLAG,Hapag Lloyd AG,Xetra,Industrials,Freight & Logistics Services,€26.54B,34.9x,-0.22,€150.80,-1.1%
83,VERB,Verbund AG Kat. A,Vienna,Utilities,Electrical Utilities & IPPs,€26.43B,14x,-1.02,€76.30,0.6%
84,AENA,Aena,Madrid,Industrials,Transport Infrastructure,€26.33B,14.4x,0.29,€175,0.3%
85,BAYGN,Bayer,Xetra,Healthcare,Pharmaceuticals,€25.74B,-20.3x,0.11,€26.28,1.7%
86,LEGD,Legrand,Paris,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",€25.22B,23.5x,-17.5,€96.32,1.8%
87,AMA,Amadeus,Madrid,Technology,Software & IT Services,€25.20B,21.2x,0.71,€57.82,1.6%
88,STMPA,STMicroelectronics,Paris,Technology,Semiconductors & Semiconductor Equipment,€24.88B,9.7x,-0.23,€27.54,2.4%
89,MICP,Michelin,Paris,Consumer Cyclicals,Automobiles & Auto Parts,€24.75B,13x,-0.64,€34.69,0.4%
90,PHG,Philips,Amsterdam,Healthcare,Healthcare Equipment & Supplies,€24.47B,-57.2x,-0.56,€26.16,0.7%
91,RHMG,Rheinmetall AG,Xetra,Industrials,Aerospace & Defense,€24.45B,46.2x,5.02,€563.20,0.9%
92,HEXABs,Hexagon B,BATS Europe,Technology,Electronic Equipment & Parts,€24.06B,28x,-1.45,€8.96,1.5%
93,CLNX,Cellnex Telecom,Madrid,Technology,Telecommunications Services,€24.04B,-43.9x,0.71,€33.97,-1.3%
94,KNEBV,KONE Oyj,Helsinki,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",€23.67B,24.3x,3.72,€45.92,-1.3%
95,PUBP,Publicis Groupe,Paris,Consumer Cyclicals,Media & Publishing,€23.38B,16x,1.32,€93.06,1.2%
96,SEBCs,SEB C,BATS Europe,Financials,Banking Services,€23.15B,7.3x,0.47,€11.29,0%
97,RWEG,RWE AG ST,Xetra,Utilities,Multiline Utilities,€22.95B,6.6x,-0.64,€30.80,1.2%
98,TEF,Telefonica,Madrid,Technology,Telecommunications Services,€22.90B,-24x,0.15,€4.06,0%
99,NTGY,Naturgy Energy,Madrid,Utilities,Natural Gas Utilities,€21.78B,11x,-1.5,€22.64,-0.2%
100,BE0172505399,BNP Paribas Fortis,Brussels,Financials,Banking Services,€20.46B,6.6x,-5.06,€36.20,0%
101,HEIG,Heidelberg Materials,Xetra,Basic Materials,Construction Materials,€20.44B,9.3x,3.53,€90.24,1.3%
102,NOKIA,Nokia Oyj,Helsinki,Technology,Communications & Networking,€20.37B,53.3x,-0.23,€3.73,3.7%
103,SAMPO,Sampo Oyj A,Helsinki,Financials,Insurance,€20.29B,14.9x,0.43,€40.87,0.9%
104,VIE,Veolia Environnement,Paris,Utilities,Multiline Utilities,€20.15B,18.8x,6.04,€28.12,0.1%
105,ENR1n,Siemens Energy AG,Xetra,Energy,Renewable Energy,€19.43B,36.7x,0.28,€25.20,1.4%
106,ERST,Erste Group Bank AG,Vienna,Financials,Banking Services,€19.40B,6.6x,0.23,€47.50,1.5%
