1,LHV1T,LHV,Tallinn,Financials,Banking Services,€1.10B,7.5x,0.16,€3.39,-0.4%
2,EGR1T,Enefit Green,Tallinn,Energy,Renewable Energy,€788.60M,13.1x,-0.4,€3,0%
3,TSM1T,Tallinna Sadam,Tallinn,Industrials,Transport Infrastructure,€279.31M,15.4x,-0.5,€1.06,-1.1%
4,CPA1T,Coop Pank,Tallinn,Financials,Banking Services,€206.53M,5.9x,0.45,€2.03,0.2%
5,EFT1T,EfTEN Real Estate III,Tallinn,Real Estate,Residential & Commercial REITs,€200.17M,,,€18.50,0%
6,NCN1T,Nordecon,Tallinn,Industrials,Construction & Engineering,€19.23M,-5.5x,-0.04,€0.61,1.7%
7,LINDA,Linda Nektar,Tallinn,Consumer Non-Cyclicals,Beverages,€10.43M,-75x,0.54,€6.60,-2.9%
8,SKN1T,Skano,Tallinn,Basic Materials,Paper & Forest Products,€4.50M,-25.8x,0.21,€1,0.2%
9,PRF1T,PRFoods,Tallinn,Consumer Non-Cyclicals,Food & Tobacco,€3.54M,-1.5x,0.01,€0.09,-2.1%
